word,score,district
মানে,8.408526277735591,tangail
একটা,6.704538278883818,tangail
যায়,4.587115978036597,tangail
অর,3.4164306527604946,tangail
সাথে,3.3135437439419992,tangail
আসলে,3.296290561900948,tangail
বরুণ,3.1775566177583823,tangail
নিয়া,3.094812945914468,tangail
অরা,2.9427992786358947,tangail
এইডা,2.881159109837131,tangail
ছিলো,2.721604108316427,tangail
অইছে,2.670063857496499,tangail
পুরা,2.599335429753082,tangail
এইরকম,2.382679700086792,tangail
শিউলির,2.3288980645567428,tangail
এক,2.1548280080143307,tangail
কইরা,2.1008327208864266,tangail
ধাওয়ান,2.0804833290623086,tangail
হইছে,2.027864199146829,tangail
আস্তে,2.0047118259192693,tangail
ফ্রেডি,1.992927726482331,tangail
সময়,1.9884969833133779,tangail
আসে,1.9725082019859157,tangail
খান,1.9679952327784098,tangail
ছবিডা,1.9456762935470648,tangail
তারপরে,1.945332676136107,tangail
একটু,1.9002381868535014,tangail
হইয়া,1.8673555826535597,tangail
শিউলি,1.8575289427661172,tangail
পাই,1.8365350468902522,tangail
এহন,1.8230916689579377,tangail
কাপুর,1.8079181908925799,tangail
রনবীর,1.7686478841091728,tangail
সারা,1.748418086182855,tangail
আছিলো,1.7312479476395972,tangail
থিকা,1.7174427406081871,tangail
ইরফান,1.6918762454924694,tangail
ছবি,1.6639711143499911,tangail
কথা,1.645781352994489,tangail
চইলা,1.572291969938913,tangail
এইটা,1.5111659165722977,tangail
কহনো,1.5005694575799788,tangail
ফ্রেডির,1.4981931449056094,tangail
বাসায়,1.4953221861055006,tangail
ব্যান্ডের,1.4715566765092494,tangail
ভালো,1.4688364106795395,tangail
মানুষ,1.4626959582826777,tangail
পায়,1.4580223814394833,tangail
জায়গায়,1.4540232168551894,tangail
ছবিতে,1.4521526975889083,tangail
