word,score,district
এডা,4.060231931955436,narsingdi
তুই,3.9127367125374075,narsingdi
ভালো,3.8016283192483242,narsingdi
একটা,3.538968596747687,narsingdi
বইন,3.000862846953609,narsingdi
কতা,2.9204646672452075,narsingdi
কইরা,2.692427084483494,narsingdi
ফরে,2.686064038971306,narsingdi
দেখ,2.616688986024811,narsingdi
ইয়া,2.616273945390561,narsingdi
সময়,2.4053776732478838,narsingdi
হ,2.36196019781611,narsingdi
যায়,2.2091611584987563,narsingdi
হুম,2.204315530607689,narsingdi
দিছে,2.1554941337429736,narsingdi
সালামি,2.15232968494998,narsingdi
বড়,2.1442782170775625,narsingdi
টাকা,2.0823259621653776,narsingdi
মায়,2.0302920078718705,narsingdi
লাগে,1.9693709156317933,narsingdi
দিয়া,1.905346152980054,narsingdi
আগুন,1.8961696083090311,narsingdi
লেগ,1.8199793967157918,narsingdi
দে,1.6983934022576836,narsingdi
এহন,1.6612261432470918,narsingdi
অনে,1.6248054816595179,narsingdi
এক,1.6188734247219485,narsingdi
আছিলো,1.597032791452296,narsingdi
কর,1.5780793552473769,narsingdi
হেই,1.5458811603405362,narsingdi
খারাপ,1.5382849203134075,narsingdi
গুড,1.5309257210784866,narsingdi
লাইগা,1.5293240505803265,narsingdi
কয়,1.51932834820987,narsingdi
রে,1.5047921031820455,narsingdi
তর,1.500987152295031,narsingdi
মানে,1.5007226731982946,narsingdi
লগে,1.48404434673148,narsingdi
আমারে,1.4752027063372795,narsingdi
উম,1.474975891036857,narsingdi
অইয়া,1.4694043612433512,narsingdi
ওয়েট,1.4542681440478822,narsingdi
বালা,1.4377768525275294,narsingdi
তে,1.4152744341444254,narsingdi
ক,1.4116957798200023,narsingdi
তরে,1.408644121033456,narsingdi
দিছি,1.3447310330998916,narsingdi
লইয়া,1.3375571843052398,narsingdi
আইচ্ছা,1.3136438879374346,narsingdi
মশা,1.3082101946114588,narsingdi
