word,score,district
মানে,11.144288326020522,sylhet
এখটা,10.42016976211192,sylhet
কিতা,9.664208601862113,sylhet
তে,8.528692114319174,sylhet
ওইছে,8.132436173791787,sylhet
আসলে,8.106693332678557,sylhet
ওয়,7.779190205875104,sylhet
বালা,6.212614602739051,sylhet
আমরার,5.852715700697296,sylhet
লগে,5.651198146690583,sylhet
আইচ্ছা,5.348750697439891,sylhet
যায়,5.047663609631308,sylhet
ওইলো,5.04352129715045,sylhet
লাগি,4.966362535519007,sylhet
খরা,4.952058160651466,sylhet
নায়,4.911147716006138,sylhet
আরকি,4.886868244961345,sylhet
ওউ,4.829341785494445,sylhet
কুনু,4.7969471544483975,sylhet
খরি,4.697107925573562,sylhet
হে,4.573527083575032,sylhet
ইতা,4.499038867307207,sylhet
তারার,4.491268403524449,sylhet
লইয়া,4.432916266560581,sylhet
একটা,4.426298206469096,sylhet
ফরে,4.371424133722786,sylhet
গিয়া,4.2918315475279165,sylhet
আছিল,4.054550430138429,sylhet
কিলা,4.042411842828048,sylhet
খাজ,3.9926547927056872,sylhet
খাম,3.8550757987324276,sylhet
খরে,3.85012192282061,sylhet
খরিয়া,3.714451477972122,sylhet
লাগে,3.6657712328193326,sylhet
মানুষ,3.6541024405150115,sylhet
গেছি,3.630624685633695,sylhet
তোর,3.5994695107811236,sylhet
মনয়,3.5477915879361945,sylhet
শেষ,3.4724110512715143,sylhet
ইটা,3.3561103402345127,sylhet
দেখি,3.2604584551936213,sylhet
অয়,3.2331610171908216,sylhet
ওইবো,3.145714126148948,sylhet
সময়,3.1256452586806565,sylhet
বছর,3.109313613383904,sylhet
বাট,3.0858018182519786,sylhet
ইগু,3.0555944992080137,sylhet
মনো,3.0296300881961375,sylhet
খারণ,3.025120898868671,sylhet
খরার,2.972939658957549,sylhet
