word,score,district
কথা,6.169207185380914,narail
তোর,5.496033348303513,narail
জমি,4.147669846340654,narail
সাথে,4.116654351086686,narail
তুই,3.766575385492851,narail
জাগা,3.7154275857098513,narail
কচ্ছে,3.663931088947746,narail
বাড়ি,3.4877092135637575,narail
আমারে,3.356643696254288,narail
ভালো,3.2851355612551227,narail
মা,3.132191896817858,narail
হইছে,3.0631052398919265,narail
তালি,2.89774945389868,narail
কইরে,2.826180386393699,narail
বাবা,2.754739190168556,narail
টাহা,2.7395342284444744,narail
আমাগে,2.5828385412721464,narail
টাকা,2.5281915403285913,narail
একা,2.5066213660178835,narail
তুমার,2.504894382740659,narail
ওরে,2.44794510838491,narail
মানে,2.3754968176773006,narail
এট্টা,2.3378613038144294,narail
ডাক্তার,2.3302996424470197,narail
কচ্ছি,2.2971989679767764,narail
ছেলো,2.2826466005105215,narail
উনার,2.222719374857972,narail
এট্টু,2.210437870454289,narail
বিয়ে,2.198589482093029,narail
যায়,2.14461951164339,narail
ফোন,2.111569336268395,narail
ইন্ডিয়ায়,2.0922320618482684,narail
আরে,2.0783994820643032,narail
অচ্ছে,2.0642098532940447,narail
বড়,2.042653364677509,narail
ভাই,1.9638244371906008,narail
কয়,1.8967098426118834,narail
থায়ে,1.8757192683093744,narail
যাইয়ে,1.8430460842096403,narail
দলিল,1.8336824558056568,narail
দিয়ে,1.8179238719586717,narail
সুমা,1.7994178258647713,narail
আইছে,1.7683499559015998,narail
এক,1.7441550599875548,narail
ধারে,1.732592582092947,narail
তোরে,1.7245382963570852,narail
কইছি,1.6209863387168733,narail
ওইযে,1.6140347133318924,narail
নেছে,1.611300617399049,narail
কতো,1.5704115217602626,narail
