word,score,district
এহন,3.1799000105242943,barishal
মোর,3.1031474215964554,barishal
মুই,2.9068225671548156,barishal
কাম,2.7780353900763513,barishal
এট্টু,2.74138837153501,barishal
কয়,2.6792680940407694,barishal
তয়,2.511865764012379,barishal
দেহি,2.363252033645982,barishal
লাগে,2.3317623439905875,barishal
হেই,2.330962667854573,barishal
একটা,2.184321801317877,barishal
কতা,2.132853321067977,barishal
হেইয়া,2.110667281538381,barishal
অয়,2.0135766833289055,barishal
কইররা,1.9344675585934255,barishal
লোক,1.9339132437928361,barishal
বালো,1.9250766303148865,barishal
গ্যাছে,1.9212832716453412,barishal
অইবে,1.9192350569048613,barishal
দিয়া,1.9024795726728658,barishal
এট্টা,1.894029302352043,barishal
বাত,1.8690832308539032,barishal
লগে,1.8649718539547586,barishal
হ,1.8405363277063906,barishal
থাহে,1.7985452124644605,barishal
অর,1.6999711269057889,barishal
বাড়ি,1.678976558341027,barishal
গাছ,1.676582880176552,barishal
পোলা,1.6753107339922615,barishal
আয়,1.6337839925957933,barishal
টাহা,1.6042787456389225,barishal
দে,1.588749700608739,barishal
কই,1.5729088534676037,barishal
খালি,1.5242761406255416,barishal
তিন,1.5177325276467788,barishal
অইয়া,1.5146801390759312,barishal
লইয়া,1.5013329510054783,barishal
যায়,1.4938756156082695,barishal
গরু,1.480246127993598,barishal
বদনাম,1.480242906393405,barishal
দিছি,1.478500580746904,barishal
এক,1.4600331996575033,barishal
বড়,1.4545221520639866,barishal
সময়,1.4288197610077926,barishal
অইছে,1.4054249186586605,barishal
অরে,1.3995508716305047,barishal
চা,1.380136639565397,barishal
হোনেন,1.3634162512950727,barishal
মাইয়া,1.333381646414123,barishal
কইছি,1.3313719713351722,barishal
